"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"HS","H4","840","United States","630291","630291 --  -- Of cotton","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,130.105,
"HS","H4","840","United States","630312","630312 --  -- Of synthetic fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,0.337,
"HS","H4","840","United States","630399","630399 --  -- Of other textile materials","410","Korea, Rep.",2012,2012,"CMT","AHS",11.3,11.3,0,11.3,11.3,1,0,0,3.759,
"HS","H4","840","United States","630491","630491 --  -- Knitted or crocheted","410","Korea, Rep.",2012,2012,"CMT","AHS",5.8,5.8,0,5.8,5.8,1,0,0,2074.429,
"HS","H4","840","United States","630493","630493 --  -- Not knitted or crocheted, of synthet","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,6.586,
"HS","H4","840","United States","630533","630533 -- (1996-) -- Other, of polyethylene or pol","410","Korea, Rep.",2012,2012,"CMT","AHS",8.4,8.4,0,8.4,8.4,1,0,0,2167.15,
"HS","H4","840","United States","630590","630590 --  - Of other textile materials","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,1.053,
"HS","H4","840","United States","630622","630622 --  -- Of synthetic fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,1417.518,
"HS","H4","840","United States","630690","630690 -- (2012-) - Other","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,2,0,0,337.14,
"HS","H4","840","United States","630790","630790 --  - Other","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,10,0,0,5610.399,
"HS","H4","840","United States","631010","631010 --  - Sorted","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,2.516,
